farm_name,lat,lon,E_utm,N_utm
05-14,31.566805334804982,48.76154101866942,287552.9445,3494594.1441
05-15,31.575766209773715,48.7653791695355,287937.59654999996,3495580.2171500004
05-16,31.56655974344698,48.76423386494027,287808.01900000003,3494561.6868499997
05-17,31.57551984355034,48.76808133089222,288193.5295,3495547.6640999997
05-18,31.566313347023666,48.7669357883013,288063.9545,3494529.1291
05-19,31.575276754472128,48.77074560280511,288445.8745,3495515.5541000003
05-20,31.566070313662948,48.76959974437091,288316.2945,3494497.0241
05-21,31.575035520266713,48.77339014464917,288696.352,3495483.6941
05-22,31.56582909141019,48.772244052367135,288566.7745,3494465.1640999997
05-23,31.574788382170656,48.776097656802285,288952.7945,3495451.0641
05-24,31.565581964642373,48.77495127183754,288823.2145,3494432.5341
05-25,31.57454703581087,48.778742177961426,289203.272,3495419.2040999997
05-26,31.56534063004765,48.777595559171694,289073.6945,3494400.674075
05-27,31.574299781063313,48.781449563609605,289459.7045,3495386.5741
05-28,31.583255061769194,48.78256529533497,289585.74450000003,3496377.3241
05-29,31.57405832210047,48.78409403772851,289710.1795,3495354.7141000004
05-30,31.583013592448754,48.785210075262746,289836.2245,3496345.4641000004
05-31,31.573811632825596,48.7867943215754,289965.94142499997,3495322.173125
05-32,31.564705811143977,48.78563800297326,289835.74395,3494314.808325
06-01,31.56860751927979,48.74175027465172,285678.334125,3494832.5736
06-02,31.577814046214026,48.74289376626325,285807.94952499995,3495851.099125
06-03,31.56885596445517,48.739019809334735,285419.7045,3494865.4741
06-04,31.57806253678492,48.74016265844049,285549.2845,3495884.0041
06-05,31.569096577891813,48.73637521356163,285169.2095,3494897.3441000003
06-06,31.578303161474633,48.73751780236876,285298.7895,3495915.8740999997
06-07,31.56934278789217,48.73366789713259,284912.7745,3494929.9641000004
06-08,31.578549382975023,48.7348102194595,285042.3545,3495948.4941
06-09,31.569583291967007,48.73102343884021,284662.2945,3494961.8341
06-10,31.578789898263363,48.732165500866664,284791.8745,3495980.3641
06-11,31.569829386205072,48.7283160488285,284405.8545,3494994.4540999997
06-12,31.579036003961896,48.72945784435165,284535.43450000003,3496012.9841
06-13,31.570069778116107,48.72567157009899,284155.3745,3495026.3241
06-14,31.579276407047537,48.726813105304224,284284.9545,3496044.8540999996
06-15,31.570311838106207,48.72300739276012,283903.0295,3495058.4241000004
06-16,31.579518479214205,48.72414871835455,284032.6145,3496076.9541
06-17,31.570559958570662,48.72027658424781,283644.37450000003,3495091.3340999996
06-18,31.579766610239705,48.721417588355955,283773.9545,3496109.8641000004
06-19,31.570799946326606,48.71763402948113,283394.0795,3495123.1741
06-20,31.580008568452243,48.71875318068092,283521.6145,3496141.9641000004
06-21,31.571039862954294,48.714991653879835,283143.802425,3495155.011975
06-22,31.580248747119835,48.7161084008106,283271.1345,3496173.8341
06-23,31.571277781661873,48.712370669816124,282895.552425,3495186.5919749998
06-24,31.580494508180074,48.713400681617095,283014.6945,3496206.4540999997
06-25,31.571257711469325,48.70933079398507,282606.9405,3495190.4061000003
06-26,31.58073457462791,48.71075588137832,282764.2145,3496238.3241
06-28,31.580884722541892,48.70826407672242,282528.04850000003,3496259.9261
07-02,31.559096979402895,48.744298476274686,285898.48915,3493773.1111749997
07-04,31.55884611140382,48.74705383216799,286159.504425,3493739.906925
07-06,31.55860529799977,48.74969796373338,286409.98435000004,3493708.041275
07-08,31.558358692438468,48.75240489673374,286666.41445000004,3493675.417075
07-10,31.558117744001716,48.7550490114705,286916.894675,3493643.5488750003
07-12,31.557871046611055,48.757755919456734,287173.32444999996,3493610.927225
07-14,31.557630031494167,48.760400005956754,287423.80405,3493579.0640749997
07-16,31.557384479581014,48.763092595240536,287678.879275,3493546.6099
07-18,31.55713806090935,48.76579424956663,287934.81429999997,3493514.0484
07-20,31.55689507039952,48.768457944831574,288187.1544,3493481.946875
07-22,31.556653831116677,48.77110199037766,288437.634025,3493450.083725
07-24,31.555282808298507,48.77335933331139,288648.8523833333,3493293.7113666665
07-26,31.55616538866447,48.776452971997536,288944.55395000003,3493385.5932250004
07-28,31.555918186884018,48.779159803453254,289200.984375,3493352.966525
07-30,31.55567672382661,48.78180380318219,289451.463575,3493321.103425
07-32,31.555426258480164,48.7845452913798,289711.179275,3493288.06095
08-01,31.559409818171435,48.74060880014289,285548.91455,3493815.024325
08-03,31.559658283682577,48.73787822927997,285290.2495,3493847.9291
08-05,31.559898886360312,48.735233919759914,285039.757,3493879.7991
08-07,31.56014508442238,48.732526843113135,284783.3195,3493912.4191
08-09,31.560385577311315,48.729882644753786,284532.8395,3493944.2890999997
08-11,31.560631660117156,48.72717552086923,284276.3995,3493976.9091
08-13,31.56087204088113,48.72453130209018,284025.9195,3494008.7791
08-15,31.561114068060906,48.721867439838164,283773.5795,3494040.8765999996
08-17,31.561362200063822,48.71913692555231,283514.927,3494073.7891
08-19,31.561604135437868,48.71647301574034,283262.5845,3494105.8891000003
08-21,31.561844291940332,48.71382875620812,283012.1045,3494137.7591
08-23,31.562090030347736,48.711121569752144,282755.6645,3494170.3791
08-25,31.562330074708186,48.70847728988629,282505.1845,3494202.2490999997
08-27,31.56257570019314,48.70577018792004,282248.7545,3494234.8691
08-29,31.562815632408086,48.7031258877493,281998.2745,3494266.7391
08-31,31.563079474760578,48.700216562107734,281722.691025,3494301.7951499997
09-02,31.549827406271657,48.7431490681841,285768.17055000004,3492747.6079
09-04,31.549576708576033,48.74590262898269,286029.04165,3492714.4242
09-06,31.549335866895287,48.74854653868174,286279.525275,3492682.5540749994
09-08,31.549089271184748,48.75125317713355,286535.95285,3492649.9297249997
09-10,31.548848355531533,48.75389705249401,286786.43525,3492618.06385
09-12,31.54860164556079,48.75660369597813,287042.8653,3492585.4395000003
09-14,31.5483606325268,48.75924757755833,287293.350275,3492553.5752000003
09-16,31.548115108164207,48.76193985331196,287548.42107499996,3492521.1228750004
09-18,31.547868734555994,48.764641172529224,287804.34975,3492488.5652000005
09-20,31.54762570952799,48.76730466156898,288056.69519999996,3492456.45845
09-22,31.547384479956754,48.76994841832019,288307.17225,3492424.5951499995
09-24,31.547137399361926,48.77265513399638,288563.6151,3492391.9676
09-26,31.546896057753166,48.77529887011341,288814.09215000004,3492360.1043000002
09-28,31.5466488664942,48.77800545975845,289070.52505,3492327.4773999997
09-30,31.548077104149737,48.78144437532822,289400.2585111111,3492479.206222222
09-32,31.547029646453794,48.78316773140235,289561.5357818182,3492359.7566545457
10-01,31.55016278412235,48.73946106954237,285418.772175,3492792.019225
10-03,31.55041124702666,48.73673077002421,285160.10730000003,3492824.9250000003
10-05,31.55065182644351,48.73408669382717,284909.612125,3492856.7937249998
10-07,31.55089802679278,48.73137991269872,284653.17732499994,3492889.4152
10-09,31.5511384896829,48.72873595968039,284402.69577500003,3492921.28315
10-11,31.551384598708406,48.72602911811575,284146.257275,3492953.9072999996
10-13,31.551624925405054,48.723385158446696,283895.776975,3492985.77255
10-15,31.55186697336059,48.720721559910366,283643.4371,3493017.8736
10-17,31.552115052500902,48.71799123477552,283384.77684999997,3493050.781675
10-19,31.55235698640025,48.715327615835356,283132.437,3493082.8827
10-21,31.55259711145526,48.71268361516728,282881.956725,3493114.75045
10-23,31.55284285522742,48.70997669816305,282625.51694999996,3493147.3723
10-25,31.55308286817469,48.70733267691688,282375.03665,3493179.24005
